	root	phylum	class	order	family	genus
15600	Root	Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	Kingella
15615	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	Corynebacterium
15633	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	Tannerella
15652	Root	Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Aggregatibacter
15662	Root	Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	Neisseria
15669	Root	Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Haemophilus
15671	Root	Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	Neisseria
15688	Root	Bacteroidetes	c__Flavobacteria	o__Flavobacteriales	f__Flavobacteriaceae	Capnocytophaga
15690	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces
15692	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	Selenomonas
15736	Root	Fusobacteria	c__Fusobacteria	o__Fusobacteriales	f__Fusobacteriaceae	Leptotrichia
15768	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	Veillonella
15776	Root	Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	Neisseria
15778	Root	Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Haemophilus
15789	Root	Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Actinobacillus
15827	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
15852	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	Prevotella
15861	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	Corynebacterium
15872	Root	Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	Campylobacter
15882	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
15899	Root	Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Haemophilus
15928	Root	Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Haemophilus
15965	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	Corynebacterium
16006	NA	NA	NA	NA	NA	NA
16009	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	Corynebacterium
16015	Root	Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Haemophilus
16069	Root	Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	Neisseria
16073	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	Veillonella
16077	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	Selenomonas
16097	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces
16174	Root	Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Actinobacillus
16189	Root	Fusobacteria	c__Fusobacteria	o__Fusobacteriales	f__Fusobacteriaceae	Fusobacterium
16225	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces
16239	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	Porphyromonas
16246	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	Prevotella
16254	Root	Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	Lautropia
16255	NA	NA	NA	NA	NA	NA
16256	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
