	rab.all	rab.win.op	rab.win.up	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
35874	0.463862305072001	0.384658007554973	0.542697589111638	0.218221234996029	4.45145612172251	0.0446392893747117	0.477000000076829	0.498178546719787	0.800005698257743	0.440721251468051	0.748502590828095
35877	0.210293399752168	0.147437257005965	0.280081326998281	0.083465490575648	4.17039792578894	0.0155813994795431	0.490301939644404	0.471528027421438	0.776944107169743	0.465820248091584	0.750615193654959
35883	1.19008566478934	1.32783627774606	1.06039611713517	-0.267288141886343	4.0147649402544	-0.0531086889588163	0.470905818933504	0.354329430172407	0.687515565970271	0.327326887743352	0.640285579625122
35893	0.203255842547572	0.231806247150614	0.16790790328942	-0.0975351272737548	4.15436600085921	-0.0218577019228776	0.488702259585754	0.48251855712635	0.777510992653348	0.475858038393743	0.76220154501386
35898	7.91993646051891	8.43120552890637	7.43886072581039	-0.863626883106275	2.92365883372716	-0.256470112134671	0.378000000432411	6.89597707995174e-05	0.00914572966343572	4.47382720026499e-05	0.00557235560406145
35907	0.235083240382695	0.275615564278044	0.199329634674742	-0.0885269308298682	4.26546056280075	-0.0175505075627676	0.490101979637072	0.479644378957149	0.795877640523159	0.49713392783957	0.778848617759305
35915	0.667703614909858	0.795133817766653	0.532737368131824	-0.217251346052946	4.55258524564703	-0.0406071586381984	0.479904019263229	0.440419021491318	0.764648461153316	0.422643218800778	0.724019001020618
35928	0.229808236466711	0.213509816984674	0.2484372181528	-0.0193306863988107	4.32382740383274	-0.00337829516908238	0.498100379930345	0.522361982808064	0.8085239314129	0.508141540535223	0.782279222200481
35929	0.696385473261889	0.78054839356399	0.617425504802839	-0.188995455504371	4.25897771673108	-0.0405226055362409	0.479600000068113	0.479290293616275	0.787453497373195	0.474475210616509	0.756162197294506
35936	4.47643959244521	4.84192733785858	4.09554255429951	-0.623742200551047	3.57693130341196	-0.141760907772816	0.423115377186999	0.0277985844254871	0.262249620850337	0.0120835262987251	0.16926459314703
35952	0.952380034427037	0.887447548460957	1.01391809016306	0.168779494404902	4.56164616988349	0.0310109513940493	0.484200000052719	0.553003438970868	0.828606984545294	0.53053070241437	0.800761338098371
35953	0.599256128537507	0.680679578807334	0.519868523127812	-0.177480980804749	4.22635244939429	-0.0335604835348667	0.48240000005874	0.478963878901228	0.774828450706525	0.442185445909785	0.734334784590245
35954	0.203474315973128	0.192262554627202	0.212227668465995	-0.0249496729518972	4.13484334224037	-0.00573454461041917	0.496900619886352	0.523017803086511	0.821702047277171	0.526641452210005	0.808143684981448
35956	0.312394610575683	0.34890587851242	0.278777939482901	-0.0251877479390474	4.18313440157288	-0.00448343883573387	0.49670065987902	0.516507944549247	0.813959091784694	0.490734280445926	0.777387945395472
35959	0.562090789417167	0.56570317817992	0.553713438651963	-0.0898544521393587	4.28378160866713	-0.0193553619991905	0.489902019629741	0.486364849530244	0.801365021964154	0.526830884405253	0.797172598945841
35971	0.41995394180903	0.522030868648356	0.315342887262326	-0.175960199868053	4.1578551037949	-0.0372313952736675	0.479800000067444	0.435287434023364	0.749720528295932	0.464829745569498	0.722274166640917
35972	2.747648492128	3.1839316717277	2.29822738698193	-0.836814589257792	4.68597594374816	-0.156871078824081	0.423115377186999	0.043767991132977	0.30117173805352	0.0221801369046829	0.212011946207154
35973	0.599044522832584	0.579042552152231	0.619509839876709	-0.050973935389945	4.22319967708605	-0.00806323850611357	0.494800000017335	0.511628578948742	0.797829561491912	0.525330877427392	0.794809238885273
35975	0.696683343691729	0.87189748718531	0.517462555730281	-0.349942939560562	4.17359572026392	-0.0728420439339061	0.461800000128081	0.361737931395356	0.69731626420017	0.33762109986484	0.630724657753662
35980	0.238890593040908	0.252642922304885	0.225308204056445	-0.0362319448391988	4.23391980164517	-0.00674985935595486	0.495500899835028	0.500310858143049	0.799573583367524	0.487207083477599	0.783481094173319
35981	0.601880821887695	0.660132028193171	0.547397513808582	-0.105964868269255	4.0986535185439	-0.0217289484012599	0.489200000036017	0.493943219867283	0.814505968795226	0.502453240949471	0.795097042423921
35983	1.65704649436617	1.92462845331488	1.3881136849473	-0.501369224536108	3.87359512556403	-0.107652528892686	0.440600000200834	0.170404784773665	0.492983068081173	0.0989090703726294	0.380482680060609
35987	0.174120630395776	0.192909766972545	0.154138254263715	-0.0483730739163217	4.32096860271981	-0.00993349573845853	0.495100979820364	0.468237750553604	0.791516947798225	0.457328744593091	0.751709620390875
