	root	phylum	class	order	family	genus
26191	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	Corynebacterium
26194	NA	NA	NA	NA	NA	NA
26209	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	Prevotella
26214	Root	Bacteroidetes	c__Flavobacteria	o__Flavobacteriales	f__Flavobacteriaceae	Capnocytophaga
26219	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	Prevotella
26237	Root	Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	Kingella
26244	Root	Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	Neisseria
26258	Root	Bacteroidetes	c__Flavobacteria	o__Flavobacteriales	f__Flavobacteriaceae	Capnocytophaga
26261	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	Corynebacterium
26268	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	Selenomonas
26282	Root	Actinobacteria	c__Actinobacteria	o__Coriobacteriales	f__Coriobacteriaceae	
26299	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	Selenomonas
26326	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	Porphyromonas
26356	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces
26378	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	Porphyromonas
26385	Root	Fusobacteria	c__Fusobacteria	o__Fusobacteriales	f__Fusobacteriaceae	Fusobacterium
26387	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces
26391	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	Veillonella
26397	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	Corynebacterium
26411	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	Prevotella
26445	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
26473	Root	Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Haemophilus
26487	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	Tannerella
26504	Root	Fusobacteria	c__Fusobacteria	o__Fusobacteriales	f__Fusobacteriaceae	Fusobacterium
26516	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
26549	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
26555	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Propionibacteriaceae	Propionibacterium
26558	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
26564	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
26573	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
26574	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	Prevotella
26584	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
26594	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
26611	Root	Spirochaetes	c__Spirochaetes	o__Spirochaetales	f__Spirochaetaceae	Treponema
26625	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Propionibacteriaceae	Propionibacterium
26634	Root	Bacteroidetes	c__Flavobacteria	o__Flavobacteriales	f__Flavobacteriaceae	Capnocytophaga
26640	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	Corynebacterium
26644	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
26647	NA	NA	NA	NA	NA	NA
26661	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
26665	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
26675	Root	Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	Neisseria
26681	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces
26704	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
26707	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
26719	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
26724	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces
26733	Root	Bacteroidetes	c__Flavobacteria	o__Flavobacteriales	f__Flavobacteriaceae	Capnocytophaga
26734	NA	NA	NA	NA	NA	NA
26740	Root	Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Haemophilus
26741	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	Selenomonas
26753	Root	Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	Neisseria
26760	Root	Fusobacteria	c__Fusobacteria	o__Fusobacteriales	f__Fusobacteriaceae	Fusobacterium
26767	Root	Fusobacteria	c__Fusobacteria	o__Fusobacteriales	f__Fusobacteriaceae	Leptotrichia
26772	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
26787	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
26789	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	Corynebacterium
26793	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
26794	NA	NA	NA	NA	NA	NA
26799	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	Prevotella
26803	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces
26805	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	Rothia
26810	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces
26814	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
26827	Root	Spirochaetes	c__Spirochaetes	o__Spirochaetales	f__Spirochaetaceae	Treponema
26833	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
26837	Root	Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	Campylobacter
26843	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	Dialister
26846	NA	NA	NA	NA	NA	NA
26849	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	Rothia
26859	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
26874	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
26881	Root	Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Haemophilus
26884	Root	Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Haemophilus
26891	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	Veillonella
26904	Root	Spirochaetes	c__Spirochaetes	o__Spirochaetales	f__Spirochaetaceae	Treponema
26914	NA	NA	NA	NA	NA	NA
26930	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	Corynebacterium
26948	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	Corynebacterium
26968	Root	Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Aggregatibacter
26999	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	Corynebacterium
27004	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
27005	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces
27006	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
27008	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
